Date,Price,daily return,,Daily Volatility  =,0.019423528
04/17/2026,271.04,0.029005315,,,
04/16/2026,263.4,-0.011372593,,,
04/15/2026,266.43,0.029362902,,,
04/14/2026,258.83,-0.001427469,,,
04/13/2026,259.2,-0.004914005,,var =,3%
04/10/2026,260.48,-3.83892E-05,,,
04/09/2026,260.49,0.006141367,,,
04/08/2026,258.9,0.021301775,,portfolio money = ,10000
04/07/2026,253.5,-0.020706173,,,
04/06/2026,258.86,0.011487965,,Var = ,320.4882051
04/02/2026,255.92,0.001134452,,,
04/01/2026,255.63,0.007250089,,,
03/31/2026,253.79,0.029031342,,,
03/30/2026,246.63,-0.008721865,,,
03/27/2026,248.8,-0.01617304,,,
03/26/2026,252.89,0.001068799,,,
03/25/2026,252.62,0.003894452,,,
03/24/2026,251.64,0.000596445,,,
03/23/2026,251.49,0.014113472,,,
03/20/2026,247.99,-0.003896208,,,
03/19/2026,248.96,-0.003920941,,,
03/18/2026,249.94,-0.016874484,,,
03/17/2026,254.23,0.00557709,,,
03/16/2026,252.82,0.010794818,,,
03/13/2026,250.12,-0.022051924,,,
03/12/2026,255.76,-0.019362754,,,
03/11/2026,260.81,-7.66783E-05,,,
03/10/2026,260.83,0.003655533,,,
03/09/2026,259.88,0.009399518,,,
03/06/2026,257.46,-0.010872488,,,
03/05/2026,260.29,-0.008494591,,,
03/04/2026,262.52,-0.004663507,,,
03/03/2026,263.75,-0.003664249,,,
03/02/2026,264.72,0.002044061,,,
02/27/2026,264.18,-0.032130427,,,
02/26/2026,272.95,-0.004667615,,,
02/25/2026,274.23,0.007679871,,,
02/24/2026,272.14,0.022390863,,,
02/23/2026,266.18,0.00604732,,,
02/20/2026,264.58,0.015350372,,,
02/19/2026,260.58,-0.014261396,,,
02/18/2026,264.35,0.001781113,,,
02/17/2026,263.88,0.03166784,,,
02/13/2026,255.78,-0.022733351,,,
02/12/2026,261.73,-0.049981851,,,
02/11/2026,275.5,0.006650102,,,
02/10/2026,273.68,-0.003422912,,,
02/09/2026,274.62,-0.012584496,,,
02/06/2026,278.12,0.008009858,,,
02/05/2026,275.91,-0.002097725,,,
02/04/2026,276.49,0.026013062,,,
02/03/2026,269.48,-0.00196289,,,
02/02/2026,270.01,0.040581162,,,
01/30/2026,259.48,0.00464612,,,
01/29/2026,258.28,0.007175168,,,
01/28/2026,256.44,-0.007085608,,,
01/27/2026,258.27,0.011197682,,,
01/26/2026,255.41,0.02971295,,,
01/23/2026,248.04,-0.001248238,,,
01/22/2026,248.35,0.00282657,,,
01/21/2026,247.65,0.003850831,,,
01/20/2026,246.7,-0.034555629,,,
01/16/2026,255.53,-0.010379149,,,
01/15/2026,258.21,-0.006731805,,,
01/14/2026,259.96,-0.004175445,,,
01/13/2026,261.05,0.003073967,,,
01/12/2026,260.25,0.003392836,,,
01/09/2026,259.37,0.001273935,,,
01/08/2026,259.04,-0.004955249,,,
01/07/2026,260.33,-0.00773746,,,
01/06/2026,262.36,-0.018334206,,,
01/05/2026,267.26,-0.013837128,,,
01/02/2026,271.01,-0.003126609,,,
12/31/2025,271.86,-0.004467555,,,
12/30/2025,273.08,-0.002483928,,,
12/29/2025,273.76,0.001316752,,,
12/26/2025,273.4,-0.001497389,,,
12/24/2025,273.81,0.005323836,,,
12/23/2025,272.36,0.005129719,,,
12/22/2025,270.97,-0.009865897,,,
12/19/2025,273.67,0.005437378,,,
12/18/2025,272.19,0.001287522,,,
12/17/2025,271.84,-0.010087033,,,
12/16/2025,274.61,0.001824085,,,
12/15/2025,274.11,-0.014984907,,,
12/12/2025,278.28,0.000899184,,,
12/11/2025,278.03,-0.002690293,,,
12/10/2025,278.78,0.005772422,,,
12/09/2025,277.18,-0.002554968,,,
12/08/2025,277.89,-0.003192482,,,
12/05/2025,278.78,-0.006840043,,,
12/04/2025,280.7,-0.012141475,,,
12/03/2025,284.15,-0.007128132,,,
12/02/2025,286.19,0.010914871,,,
